bedrooms,bathrooms,toilets,parking_space,title,town,state,price,log_price,state_enc,town_enc,title_enc,cluster
6,5,5,4,Detached Duplex,Mabushi,Abuja,450000000.0,19.92475814295086,0,75,2,1
4,5,5,4,Terraced Duplexes,Katampe,Abuja,800000000.0,20.500122286882203,0,61,6,1
4,5,5,4,Detached Duplex,Lekki,Lagos,120000000.0,18.603002309079653,1,71,2,0
4,4,5,6,Detached Duplex,Ajah,Lagos,40000000.0,17.50439003707821,1,2,2,2
4,4,5,2,Semi Detached Duplex,Lekki,Lagos,75000000.0,18.132998684833918,1,71,4,3
5,5,6,1,Detached Duplex,Lekki,Lagos,450000000.0,19.92475814295086,1,71,2,0
4,5,5,4,Detached Duplex,Lekki,Lagos,65000000.0,17.989897843244528,1,71,2,0
2,2,3,6,Detached Bungalow,Epe,Lagos,12000000.0,16.300417291085605,1,23,1,2
1,1,1,1,Detached Duplex,Lekki,Lagos,200000000.0,19.11382792951231,1,71,2,3
4,4,5,5,Detached Duplex,Ajah,Lagos,60000000.0,17.909855136853043,1,2,2,2
3,4,5,4,Terraced Duplexes,Lokogoma District,Abuja,25000000.0,17.034386422832473,0,73,6,1
4,5,6,3,Semi Detached Duplex,Lekki,Lagos,65000000.0,17.989897843244528,1,71,4,3
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,70000000.0,18.064005814299346,1,71,4,3
6,6,7,4,Detached Duplex,Victoria Island (VI),Lagos,450000000.0,19.92475814295086,1,95,2,0
4,4,5,4,Terraced Duplexes,Lekki,Lagos,48000000.0,17.6867115897055,1,71,6,3
3,3,4,4,Detached Bungalow,Lokogoma District,Abuja,37000000.0,17.426428497635523,0,73,1,1
4,5,5,4,Detached Duplex,Victoria Island (VI),Lagos,170000000.0,18.951309000896888,1,95,2,0
3,3,4,2,Block of Flats,Ikeja,Lagos,350000000.0,19.673443715304877,1,40,0,2
5,5,6,5,Detached Duplex,Lekki,Lagos,85000000.0,18.258161826219297,1,71,2,0
3,3,4,4,Terraced Duplexes,Lekki,Lagos,34000000.0,17.341871111992198,1,71,6,3
4,5,5,2,Terraced Duplexes,Victoria Island (VI),Lagos,130000000.0,18.683045016112164,1,95,6,3
5,6,7,6,Detached Duplex,Katampe,Abuja,160000000.0,18.8906843794481,0,61,2,1
4,4,5,3,Detached Duplex,Ajah,Lagos,60000000.0,17.909855136853043,1,2,2,2
5,5,5,4,Detached Duplex,Lekki,Lagos,270000000.0,19.413932520666354,1,71,2,0
5,6,5,4,Detached Duplex,Lekki,Lagos,250000000.0,19.33697147982652,1,71,2,0
4,4,5,5,Detached Duplex,Lekki,Lagos,180000000.0,19.00846741441004,1,71,2,0
4,4,5,2,Semi Detached Duplex,Lekki,Lagos,75000000.0,18.132998684833918,1,71,4,3
5,5,5,4,Detached Duplex,Lekki,Lagos,270000000.0,19.413932520666354,1,71,2,0
6,8,8,3,Detached Duplex,Ikoyi,Lagos,850000000.0,20.560746908625106,1,43,2,0
4,4,5,4,Detached Duplex,Magodo,Lagos,140000000.0,18.757152987716434,1,76,2,0
